Frame,Scheme,Cluster,Size,# all fragments,# protein fragments,# waters,Charge,Reactant IRC,dGact (kcal/mol),dGrxn (kcal/mol),TS path,TS method,TS E,TS E+ZPE,TS E+thrm E,TS H,TS G,TS Nbasis,TS Nimag,TS G kcal/mol,irc1 path,irc1 method,irc1 E,irc1 E+ZPE,irc1 E+thrm E,irc1 H,irc1 G,irc1 Nbasis,irc1 Nimag,irc1 G kcal/mol,irc2 path,irc2 method,irc2 E,irc2 E+ZPE,irc2 E+thrm E,irc2 H,irc2 G,irc2 Nbasis,irc2 Nimag,irc2 G kcal/mol
1169,S6,active2cluster2,219,19,14,5,0,irc1,9.02,-14.97,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1169/ts-1169/,E(RB3LYP),-4810.474952,-4808.62712,-4808.530156,-4808.529211,-4808.759581,1243,NImag=1,-3017544.725,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1169/ts-1169/irc1,E(RB3LYP),-4810.493926,-4808.642827,-4808.546074,-4808.545129,-4808.773962,1243,NImag=0,-3017553.749,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1169/ts-1169/irc2,E(RB3LYP),-4810.513241,-4808.66345,-4808.565712,-4808.564768,-4808.797823,1243,NImag=0,-3017568.722
1218,S6,active2cluster2,209,19,13,6,1,irc1,8.92,-15.2,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1218/ts-1218/,E(RB3LYP),-4579.638265,-4577.867144,-4577.771038,-4577.770094,-4577.998902,1183,NImag=1,-2872740.091,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1218/ts-1218/irc1,E(RB3LYP),-4579.654329,-4577.881253,-4577.784999,-4577.784054,-4578.013114,1183,NImag=0,-2872749.009,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f1218/ts-1218/irc2,E(RB3LYP),-4579.678249,-4577.904726,-4577.808076,-4577.807132,-4578.037334,1183,NImag=0,-2872764.207
1221,S7,activecluster2,206,16,10,6,0,irc1,7.18,-14.82,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1221/ts-1221/,E(RB3LYP),-4560.949786,-4559.218132,-4559.125809,-4559.124865,-4559.346642,1170,NImag=1,-2861035.611,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1221/ts-1221/irc1,E(RB3LYP),-4560.964619,-4559.230251,-4559.137946,-4559.137002,-4559.35809,1170,NImag=0,-2861042.795,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1221/ts-1221/irc2,E(RB3LYP),-4560.985108,-4559.252167,-4559.159052,-4559.158108,-4559.381705,1170,NImag=0,-2861057.614
1341,S5,cluster3qm,219,21,13,8,0,irc1,10.68,-15.04,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f1341/ts-1341/,E(RB3LYP),-4921.854033,-4920.011704,-4919.912683,-4919.911739,-4920.144771,1258,NImag=1,-3087440.045,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f1341/ts-1341/irc1,E(RB3LYP),-4921.874279,-4920.029222,-4919.930329,-4919.929385,-4920.161787,1258,NImag=0,-3087450.723,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f1341/ts-1341/irc2,E(RB3LYP),-4921.895231,-4920.050223,-4919.950951,-4919.950007,-4920.185753,1258,NImag=0,-3087465.762
1368,S3,random4,201,17,9,8,0,irc1,11.22,-13.8,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1368/ts-1368/,E(RB3LYP),-4068.308979,-4066.604933,-4066.513955,-4066.513011,-4066.733276,1123,NImag=1,-2551915.798,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1368/ts-1368/irc1,E(RB3LYP),-4068.326898,-4066.621398,-4066.530096,-4066.529152,-4066.751154,1123,NImag=0,-2551927.017,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1368/ts-1368/irc2,E(RB3LYP),-4068.349481,-4066.643404,-4066.551989,-4066.551045,-4066.773148,1123,NImag=0,-2551940.818
1485,S4,random5,226,19,10,9,1,irc2,10.83,-20.56,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1485/ts-1485/,E(RB3LYP),-4565.827531,-4563.897498,-4563.798656,-4563.797712,-4564.031041,1263,NImag=1,-2863975.119,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1485/ts-1485/irc2,E(RB3LYP),-4565.849979,-4563.916095,-4563.817723,-4563.816779,-4564.048295,1263,NImag=0,-2863985.946,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1485/ts-1485/irc1,E(RB3LYP),-4565.879836,-4563.947689,-4563.848816,-4563.847872,-4564.081054,1263,NImag=0,-2864006.502
1603,S3,random4,221,18,12,6,1,irc1,7.37,-19.46,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1603/ts-1603/,E(RB3LYP),-4774.003767,-4772.123165,-4772.02626,-4772.025315,-4772.256078,1240,NImag=1,-2994638.412,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1603/ts-1603/irc1,E(RB3LYP),-4774.017978,-4772.134987,-4772.037862,-4772.036918,-4772.267828,1240,NImag=0,-2994645.785,/project/dwappett/CM-MD-250-set/opts/S3_random4/f1603/ts-1603/irc2,E(RB3LYP),-4774.050605,-4772.167304,-4772.070164,-4772.06922,-4772.298839,1240,NImag=0,-2994665.244
1617,S4,random5,213,19,13,6,0,irc2,9.12,-16.06,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1617/ts-1617/,E(RB3LYP),-4768.978945,-4767.187846,-4767.094444,-4767.093499,-4767.3157,1222,NImag=1,-2991538.275,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1617/ts-1617/irc2,E(RB3LYP),-4768.995604,-4767.202273,-4767.108655,-4767.107711,-4767.330233,1222,NImag=0,-2991547.395,/project/dwappett/CM-MD-250-set/opts/S4_random5/f1617/ts-1617/irc1,E(RB3LYP),-4769.019041,-4767.226361,-4767.132118,-4767.131174,-4767.355826,1222,NImag=0,-2991563.454
1658,S7,activecluster2,206,16,10,6,0,irc1,8.48,-16.19,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1658/ts-1658/,E(RB3LYP),-4560.979089,-4559.250883,-4559.161288,-4559.160344,-4559.374632,1170,NImag=1,-2861053.175,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1658/ts-1658/irc1,E(RB3LYP),-4560.994924,-4559.264364,-4559.174583,-4559.173639,-4559.388145,1170,NImag=0,-2861061.655,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f1658/ts-1658/irc2,E(RB3LYP),-4561.01879,-4559.288352,-4559.198102,-4559.197158,-4559.413938,1170,NImag=0,-2861077.84
2000,S1,sampling,200,17,11,6,1,irc1,9.6,-15.14,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f2000/ts-2000/,E(RB3LYP),-4461.711455,-4460.02395,-4459.932547,-4459.931603,-4460.149938,1144,NImag=1,-2798788.688,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f2000/ts-2000/irc1,E(RB3LYP),-4461.728206,-4460.038222,-4459.946607,-4459.945662,-4460.165243,1144,NImag=0,-2798798.292,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f2000/ts-2000/irc2,E(RB3LYP),-4461.751715,-4460.062263,-4459.97021,-4459.969266,-4460.189371,1144,NImag=0,-2798813.432
2150,S8,rincluster1,193,16,10,6,1,irc2,11.89,-11.84,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f2150/ts-2150/,E(RB3LYP),-4253.723216,-4252.091322,-4252.004684,-4252.00374,-4252.213605,1092,NImag=1,-2668306.559,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f2150/ts-2150/irc2,E(RB3LYP),-4253.74157,-4252.108802,-4252.021556,-4252.020612,-4252.232549,1092,NImag=0,-2668318.447,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f2150/ts-2150/irc1,E(RB3LYP),-4253.763236,-4252.128929,-4252.041708,-4252.040764,-4252.251416,1092,NImag=0,-2668330.286
2224,S8,rincluster2,184,16,11,5,0,irc1,7.9,-18.41,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2224/ts-2224/,E(RB3LYP),-4098.459177,-4096.903731,-4096.820524,-4096.81958,-4097.023195,1046,NImag=1,-2570923.025,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2224/ts-2224/irc1,E(RB3LYP),-4098.475577,-4096.917578,-4096.834391,-4096.833447,-4097.035778,1046,NImag=0,-2570930.921,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2224/ts-2224/irc2,E(RB3LYP),-4098.50306,-4096.945177,-4096.861789,-4096.860845,-4097.065123,1046,NImag=0,-2570949.335
2322,S2,random1,206,18,12,6,0,irc1,11.62,-10.36,/project/dwappett/CM-MD-250-set/opts/S2_random1/f2322/ts-2322/,E(RB3LYP),-4560.972637,-4559.233506,-4559.141892,-4559.140947,-4559.361696,1170,NImag=1,-2861045.058,/project/dwappett/CM-MD-250-set/opts/S2_random1/f2322/ts-2322/irc1,E(RB3LYP),-4560.996585,-4559.255561,-4559.163728,-4559.162784,-4559.380215,1170,NImag=0,-2861056.679,/project/dwappett/CM-MD-250-set/opts/S2_random1/f2322/ts-2322/irc2,E(RB3LYP),-4561.011447,-4559.269376,-4559.177554,-4559.176609,-4559.39673,1170,NImag=0,-2861067.042
2373,S2,random3a,205,17,10,7,0,irc2,9.86,-14.34,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2373/ts-2373/,E(RB3LYP),-4199.891762,-4198.163306,-4198.071876,-4198.070932,-4198.292259,1157,NImag=1,-2634470.375,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2373/ts-2373/irc2,E(RB3LYP),-4199.910911,-4198.179746,-4198.088437,-4198.087493,-4198.307975,1157,NImag=0,-2634480.237,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2373/ts-2373/irc1,E(RB3LYP),-4199.942973,-4198.207227,-4198.117568,-4198.116624,-4198.33083,1157,NImag=0,-2634494.579
2391,S2,random3a,228,20,12,8,0,irc2,10.07,-16.3,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2391/ts-2391/,E(RB3LYP),-5039.813669,-5037.888783,-5037.788305,-5037.78736,-5038.020612,1297,NImag=1,-3161408.314,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2391/ts-2391/irc2,E(RB3LYP),-5039.832413,-5037.904977,-5037.804453,-5037.803509,-5038.036658,1297,NImag=0,-3161418.383,/project/dwappett/CM-MD-250-set/opts/S2_random3a/f2391/ts-2391/irc1,E(RB3LYP),-5039.854028,-5037.928076,-5037.826637,-5037.825693,-5038.062639,1297,NImag=0,-3161434.687
2473,S8,rincluster2,206,17,11,6,0,irc1,11.08,-14.81,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2473/ts-2473/,E(RB3LYP),-4560.992784,-4559.257116,-4559.167803,-4559.166859,-4559.379692,1170,NImag=1,-2861056.351,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2473/ts-2473/irc1,E(RB3LYP),-4561.011975,-4559.274261,-4559.184897,-4559.183953,-4559.397346,1170,NImag=0,-2861067.429,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f2473/ts-2473/irc2,E(RB3LYP),-4561.033743,-4559.296534,-4559.206519,-4559.205574,-4559.420943,1170,NImag=0,-2861082.236
2475,S6,active2cluster4,213,18,12,6,0,irc1,10.23,-14.49,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f2475/ts-2475/,E(RB3LYP),-4768.975152,-4767.183547,-4767.08908,-4767.088136,-4767.313534,1222,NImag=1,-2991536.916,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f2475/ts-2475/irc1,E(RB3LYP),-4768.993493,-4767.199681,-4767.105049,-4767.104105,-4767.329844,1222,NImag=0,-2991547.15,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f2475/ts-2475/irc2,E(RB3LYP),-4769.018311,-4767.224247,-4767.12989,-4767.128946,-4767.352938,1222,NImag=0,-2991561.642
2747,S4,random5,212,17,11,6,0,irc2,8.57,-13.73,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2747/ts-2747/,E(RB3LYP),-4639.60498,-4637.817867,-4637.723131,-4637.722187,-4637.946988,1196,NImag=1,-2910358.114,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2747/ts-2747/irc2,E(RB3LYP),-4639.619562,-4637.830682,-4637.735576,-4637.734631,-4637.960645,1196,NImag=0,-2910366.684,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2747/ts-2747/irc1,E(RB3LYP),-4639.643903,-4637.853567,-4637.758856,-4637.757912,-4637.982528,1196,NImag=0,-2910380.416
2752,S6,active2cluster2,215,19,11,8,1,irc1,10.38,-12.5,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f2752/ts-2752/,E(RB3LYP),-4732.516416,-4730.700208,-4730.603665,-4730.602721,-4730.831955,1219,NImag=1,-2968644.36,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f2752/ts-2752/irc1,E(RB3LYP),-4732.534271,-4730.716623,-4730.619402,-4730.618458,-4730.848491,1219,NImag=0,-2968654.737,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f2752/ts-2752/irc2,E(RB3LYP),-4732.557915,-4730.73778,-4730.641537,-4730.640593,-4730.868415,1219,NImag=0,-2968667.239
2862,S4,random5,199,17,10,7,0,irc1,10.32,-14.06,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2862/ts-2862/,E(RB3LYP),-4369.267999,-4367.584877,-4367.495659,-4367.494715,-4367.707918,1121,NImag=1,-2740780.396,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2862/ts-2862/irc1,E(RB3LYP),-4369.286661,-4367.601374,-4367.512049,-4367.511105,-4367.724357,1121,NImag=0,-2740790.711,/project/dwappett/CM-MD-250-set/opts/S4_random5/f2862/ts-2862/irc2,E(RB3LYP),-4369.306959,-4367.622171,-4367.532003,-4367.531059,-4367.746762,1121,NImag=0,-2740804.771
3000,S1,sampling,185,15,10,5,0,irc1,7.63,-16.47,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f3000/ts-3000/,E(RB3LYP),-4173.668117,-4172.110154,-4172.025735,-4172.02479,-4172.232122,1060,NImag=1,-2618117.379,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f3000/ts-3000/irc1,E(RB3LYP),-4173.682827,-4172.122408,-4172.037982,-4172.037038,-4172.244282,1060,NImag=0,-2618125.009,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f3000/ts-3000/irc2,E(RB3LYP),-4173.708029,-4172.147264,-4172.06233,-4172.061386,-4172.270529,1060,NImag=0,-2618141.48
3059,S6,active2cluster2,209,18,11,7,0,irc2,12.8,-9.86,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3059/ts-3059/,E(RB3LYP),-4637.397264,-4635.637417,-4635.5442,-4635.543256,-4635.765437,1188,NImag=1,-2908989.169,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3059/ts-3059/irc2,E(RB3LYP),-4637.418892,-4635.657265,-4635.563976,-4635.563032,-4635.785829,1188,NImag=0,-2909001.966,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3059/ts-3059/irc1,E(RB3LYP),-4637.432224,-4635.671193,-4635.576861,-4635.575917,-4635.801545,1188,NImag=0,-2909011.828
3374,S6,active2cluster2,204,18,12,6,0,irc1,10.41,-10.34,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3374/ts-3374/,E(RB3LYP),-4576.051581,-4574.332409,-4574.241479,-4574.240535,-4574.456792,1169,NImag=1,-2870517.382,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3374/ts-3374/irc1,E(RB3LYP),-4576.070936,-4574.349357,-4574.258487,-4574.257543,-4574.473374,1169,NImag=0,-2870527.787,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f3374/ts-3374/irc2,E(RB3LYP),-4576.086562,-4574.364442,-4574.273012,-4574.272068,-4574.489844,1169,NImag=0,-2870538.122
3436,S3,random4a,216,19,12,7,0,irc2,9.78,-14.42,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f3436/ts-3436/,E(RB3LYP),-4845.426292,-4843.610453,-4843.513587,-4843.512643,-4843.740024,1240,NImag=1,-3039495.302,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f3436/ts-3436/irc2,E(RB3LYP),-4845.442722,-4843.625271,-4843.52802,-4843.527076,-4843.755611,1240,NImag=0,-3039505.083,/project/dwappett/CM-MD-250-set/opts/S3_random4a/f3436/ts-3436/irc1,E(RB3LYP),-4845.463883,-4843.64624,-4843.548628,-4843.547683,-4843.778588,1240,NImag=0,-3039519.502
3483,S5,cluster3qm,203,14,10,4,1,irc2,11.23,-14.1,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3483/ts-3483/,E(RB3LYP),-4426.772133,-4425.060187,-4424.971864,-4424.97092,-4425.182126,1147,NImag=1,-2776846.036,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3483/ts-3483/irc2,E(RB3LYP),-4426.790141,-4425.076786,-4424.988018,-4424.987074,-4425.200017,1147,NImag=0,-2776857.263,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3483/ts-3483/irc1,E(RB3LYP),-4426.814016,-4425.099916,-4425.011214,-4425.01027,-4425.222485,1147,NImag=0,-2776871.362
3595,S8,rincluster2,199,16,11,5,1,irc2,9.37,-14.26,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f3595/ts-3595/,E(RB3LYP),-4295.226817,-4293.536795,-4293.447925,-4293.446981,-4293.661184,1113,NImag=1,-2694315.33,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f3595/ts-3595/irc2,E(RB3LYP),-4295.243077,-4293.550905,-4293.46176,-4293.460816,-4293.676114,1113,NImag=0,-2694324.698,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f3595/ts-3595/irc1,E(RB3LYP),-4295.26467,-4293.572942,-4293.482981,-4293.482037,-4293.698845,1113,NImag=0,-2694338.962
3670,S5,cluster3qm,175,14,8,6,1,irc1,9.2,-14.52,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3670/ts-3670/,E(RB3LYP),-3942.84557,-3941.368004,-3941.286187,-3941.285243,-3941.486802,1000,NImag=1,-2473322.383,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3670/ts-3670/irc1,E(RB3LYP),-3942.863005,-3941.382725,-3941.300911,-3941.299967,-3941.501464,1000,NImag=0,-2473331.584,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3670/ts-3670/irc2,E(RB3LYP),-3942.885685,-3941.405534,-3941.323283,-3941.322339,-3941.524608,1000,NImag=0,-2473346.107
3713,S5,cluster3qm,205,15,11,4,0,irc1,6.78,-17.43,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3713/ts-3713/,E(RB3LYP),-4088.521199,-4086.784668,-4086.696581,-4086.695636,-4086.908569,1142,NImag=1,-2564575.996,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3713/ts-3713/irc1,E(RB3LYP),-4088.53513,-4086.795953,-4086.707934,-4086.70699,-4086.919381,1142,NImag=0,-2564582.781,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3713/ts-3713/irc2,E(RB3LYP),-4088.562229,-4086.822399,-4086.73396,-4086.733016,-4086.947155,1142,NImag=0,-2564600.209
3808,S8,rincluster1,188,16,10,6,0,irc2,10.62,-14.32,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f3808/ts-3808/,E(RB3LYP),-4250.087721,-4248.510537,-4248.423509,-4248.422565,-4248.635604,1078,NImag=1,-2666061.328,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f3808/ts-3808/irc2,E(RB3LYP),-4250.10574,-4248.526167,-4248.438913,-4248.437969,-4248.652533,1078,NImag=0,-2666071.951,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f3808/ts-3808/irc1,E(RB3LYP),-4250.134086,-4248.552527,-4248.46633,-4248.465386,-4248.675357,1078,NImag=0,-2666086.273
3858,S4,random5,199,16,10,6,0,irc1,14.74,-11.81,/project/dwappett/CM-MD-250-set/opts/S4_random5/f3858/ts-3858/,E(RB3LYP),-4352.95876,-4351.27799,-4351.190376,-4351.189432,-4351.403081,1118,NImag=1,-2730548.947,/project/dwappett/CM-MD-250-set/opts/S4_random5/f3858/ts-3858/irc1,E(RB3LYP),-4352.98437,-4351.301232,-4351.213779,-4351.212835,-4351.426565,1118,NImag=0,-2730563.684,/project/dwappett/CM-MD-250-set/opts/S4_random5/f3858/ts-3858/irc2,E(RB3LYP),-4353.003253,-4351.319814,-4351.231883,-4351.230938,-4351.445386,1118,NImag=0,-2730575.494
3987,S5,cluster3qm,206,16,11,5,1,irc2,7.43,-15.14,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3987/ts-3987/,E(RB3LYP),-4503.234478,-4501.490917,-4501.400318,-4501.399374,-4501.614832,1165,NImag=1,-2824808.323,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3987/ts-3987/irc2,E(RB3LYP),-4503.247313,-4501.502317,-4501.411323,-4501.410379,-4501.62667,1165,NImag=0,-2824815.752,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f3987/ts-3987/irc1,E(RB3LYP),-4503.2748,-4501.528255,-4501.437597,-4501.436653,-4501.650798,1165,NImag=0,-2824830.892
4000,S1,sampling,200,15,11,4,0,irc2,7.48,-24.82,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f4000/ts-4000/,E(RB3LYP),-4408.101743,-4406.421789,-4406.335226,-4406.334282,-4406.543586,1134,NImag=1,-2765150.166,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f4000/ts-4000/irc2,E(RB3LYP),-4408.114859,-4406.433116,-4406.346246,-4406.345302,-4406.555508,1134,NImag=0,-2765157.647,/project/dwappett/CM-MD-250-set/opts/S1_sampling/f4000/ts-4000/irc1,E(RB3LYP),-4408.157562,-4406.47397,-4406.387847,-4406.386903,-4406.595063,1134,NImag=0,-2765182.468
4070,S8,rincluster2,190,17,10,7,0,irc2,7.85,-19.13,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f4070/ts-4070/,E(RB3LYP),-4251.338075,-4249.734587,-4249.64923,-4249.648286,-4249.852881,1082,NImag=1,-2666825.181,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f4070/ts-4070/irc2,E(RB3LYP),-4251.349405,-4249.744898,-4249.658932,-4249.657988,-4249.86539,1082,NImag=0,-2666833.031,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f4070/ts-4070/irc1,E(RB3LYP),-4251.383018,-4249.77661,-4249.69104,-4249.690096,-4249.89588,1082,NImag=0,-2666852.164
4114,S6,active2cluster2,203,18,11,7,1,irc1,10.62,-17.08,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4114/ts-4114/,E(RB3LYP),-4538.145908,-4536.433516,-4536.340064,-4536.33912,-4536.561603,1162,NImag=1,-2846737.771,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4114/ts-4114/irc1,E(RB3LYP),-4538.165551,-4536.45051,-4536.357173,-4536.356228,-4536.578533,1162,NImag=0,-2846748.395,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4114/ts-4114/irc2,E(RB3LYP),-4538.194223,-4536.47878,-4536.385433,-4536.384488,-4536.605758,1162,NImag=0,-2846765.479
4165,S3,random4,213,18,12,6,0,irc2,10.32,-13.41,/project/dwappett/CM-MD-250-set/opts/S3_random4/f4165/ts-4165/,E(RB3LYP),-4768.979051,-4767.18962,-4767.095391,-4767.094447,-4767.318174,1222,NImag=1,-2991539.827,/project/dwappett/CM-MD-250-set/opts/S3_random4/f4165/ts-4165/irc2,E(RB3LYP),-4768.994801,-4767.204393,-4767.109678,-4767.108734,-4767.334624,1222,NImag=0,-2991550.15,/project/dwappett/CM-MD-250-set/opts/S3_random4/f4165/ts-4165/irc1,E(RB3LYP),-4769.01901,-4767.226553,-4767.132072,-4767.131127,-4767.355988,1222,NImag=0,-2991563.556
4202,S7,activecluster2,195,17,11,6,0,irc1,10.04,-15.07,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f4202/ts-4202/,E(RB3LYP),-4458.113962,-4456.477031,-4456.387767,-4456.386823,-4456.602459,1130,NImag=1,-2796562.609,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f4202/ts-4202/irc1,E(RB3LYP),-4458.134914,-4456.495223,-4456.406382,-4456.405437,-4456.618462,1130,NImag=0,-2796572.651,/project/dwappett/CM-MD-250-set/opts/S7_activecluster2/f4202/ts-4202/irc2,E(RB3LYP),-4458.157287,-4456.517216,-4456.427987,-4456.427042,-4456.642475,1130,NImag=0,-2796587.719
4448,S4,random5,158,13,7,6,0,irc2,10.31,-15.95,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4448/ts-4448/,E(RB3LYP),-3218.529834,-3217.185474,-3217.114075,-3217.113131,-3217.293029,889,NImag=1,-2018883.549,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4448/ts-4448/irc2,E(RB3LYP),-3218.54485,-3217.199623,-3217.127451,-3217.126507,-3217.309465,889,NImag=0,-2018893.862,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4448/ts-4448/irc1,E(RB3LYP),-3218.575573,-3217.22806,-3217.15651,-3217.155566,-3217.334878,889,NImag=0,-2018909.809
4591,S4,random5,200,17,11,6,1,irc1,11.2,-12.02,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4591/ts-4591/,E(RB3LYP),-4461.72327,-4460.034561,-4459.944377,-4459.943433,-4460.159404,1144,NImag=1,-2798794.628,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4591/ts-4591/irc1,E(RB3LYP),-4461.741651,-4460.050981,-4459.960285,-4459.959341,-4460.177253,1144,NImag=0,-2798805.828,/project/dwappett/CM-MD-250-set/opts/S4_random5/f4591/ts-4591/irc2,E(RB3LYP),-4461.762799,-4460.071166,-4459.980566,-4459.979621,-4460.196414,1144,NImag=0,-2798817.852
4688,S2,random1,203,16,11,5,0,irc2,12.2,-17.88,/project/dwappett/CM-MD-250-set/opts/S2_random1/f4688/ts-4688/,E(RB3LYP),-4484.524784,-4482.819771,-4482.729855,-4482.728911,-4482.946435,1152,NImag=1,-2813093.717,/project/dwappett/CM-MD-250-set/opts/S2_random1/f4688/ts-4688/irc2,E(RB3LYP),-4484.545674,-4482.838462,-4482.74855,-4482.747606,-4482.965879,1152,NImag=0,-2813105.919,/project/dwappett/CM-MD-250-set/opts/S2_random1/f4688/ts-4688/irc1,E(RB3LYP),-4484.577541,-4482.868474,-4482.779128,-4482.778183,-4482.994366,1152,NImag=0,-2813123.795
4777,S6,active2cluster2,205,16,9,7,1,irc1,11.52,-11.36,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4777/ts-4777/,E(RB3LYP),-4448.093319,-4446.362192,-4446.27098,-4446.270036,-4446.490117,1149,NImag=1,-2790217.013,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4777/ts-4777/irc1,E(RB3LYP),-4448.11446,-4446.380446,-4446.289249,-4446.288305,-4446.508478,1149,NImag=0,-2790228.535,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster2/f4777/ts-4777/irc2,E(RB3LYP),-4448.131442,-4446.397686,-4446.305925,-4446.304981,-4446.526588,1149,NImag=0,-2790239.899
