Frame,Scheme,Cluster,Size,# all fragments,# protein fragments,# waters,Charge,Reactant IRC,dGact (kcal/mol),dGrxn (kcal/mol),TS path,TS method,TS E,TS E+ZPE,TS E+thrm E,TS H,TS G,TS Nbasis,TS Nimag,TS G kcal/mol,irc1 path,irc1 method,irc1 E,irc1 E+ZPE,irc1 E+thrm E,irc1 H,irc1 G,irc1 Nbasis,irc1 Nimag,irc1 G kcal/mol,irc2 path,irc2 method,irc2 E,irc2 E+ZPE,irc2 E+thrm E,irc2 H,irc2 G,irc2 Nbasis,irc2 Nimag,irc2 G kcal/mol
242,S6,active2cluster4,209,21,12,9,-1,irc1,10.05,-17.15,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f242/ts-242/,E(RB3LYP),-4753.117764,-4751.364761,-4751.269796,-4751.268852,-4751.492629,1200,NImag=1,-2981609.14,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f242/ts-242/irc1,E(RB3LYP),-4753.1379,-4751.381451,-4751.286966,-4751.286022,-4751.508643,1200,NImag=0,-2981619.189,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f242/ts-242/irc2,E(RB3LYP),-4753.161556,-4751.406536,-4751.310833,-4751.309888,-4751.535978,1200,NImag=0,-2981636.342
291,S7,activecluster4,187,17,10,7,-1,irc1,12.04,-13.93,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f291/ts-291/,E(RB3LYP),-4274.299715,-4272.73882,-4272.654026,-4272.653082,-4272.859317,1073,NImag=1,-2681261.95,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f291/ts-291/irc1,E(RB3LYP),-4274.321284,-4272.757915,-4272.672971,-4272.672027,-4272.8785,1073,NImag=0,-2681273.988,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f291/ts-291/irc2,E(RB3LYP),-4274.339935,-4272.777586,-4272.69184,-4272.690896,-4272.900691,1073,NImag=0,-2681287.913
324,S7,activecluster4,218,19,12,7,0,irc1,12.04,-19.43,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f324/ts-324/,E(RB3LYP),-4813.311148,-4811.464432,-4811.369224,-4811.368279,-4811.593767,1234,NImag=1,-3019323.205,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f324/ts-324/irc1,E(RB3LYP),-4813.330819,-4811.48296,-4811.387348,-4811.386404,-4811.612952,1234,NImag=0,-3019335.244,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f324/ts-324/irc2,E(RB3LYP),-4813.365339,-4811.516059,-4811.421193,-4811.420249,-4811.643914,1234,NImag=0,-3019354.672
336,S4,random5a,184,16,10,6,-1,irc1,10.2,-20.38,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f336/ts-336/,E(RB3LYP),-4197.865679,-4196.329481,-4196.247654,-4196.24671,-4196.446198,1055,NImag=1,-2633311.954,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f336/ts-336/irc1,E(RB3LYP),-4197.882074,-4196.344319,-4196.262214,-4196.26127,-4196.462448,1055,NImag=0,-2633322.151,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f336/ts-336/irc2,E(RB3LYP),-4197.918131,-4196.378885,-4196.297699,-4196.296755,-4196.494918,1055,NImag=0,-2633342.526
363,S7,activecluster4,196,20,10,10,-1,irc1,11.65,-9.33,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f363/ts-363/,E(RB3LYP),-4503.604073,-4501.96465,-4501.872509,-4501.871565,-4502.094318,1127,NImag=1,-2825109.205,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f363/ts-363/irc1,E(RB3LYP),-4503.626067,-4501.98496,-4501.892795,-4501.891851,-4502.112888,1127,NImag=0,-2825120.858,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f363/ts-363/irc2,E(RB3LYP),-4503.64314,-4502.000693,-4501.908832,-4501.907888,-4502.127763,1127,NImag=0,-2825130.193
370,S7,activecluster4,215,20,11,9,0,irc2,9.76,-17.11,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f370/ts-370/,E(RB3LYP),-4848.246523,-4846.435895,-4846.339808,-4846.338864,-4846.566303,1231,NImag=1,-3041268.821,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f370/ts-370/irc2,E(RB3LYP),-4848.26354,-4846.450995,-4846.354665,-4846.353721,-4846.581858,1231,NImag=0,-3041278.582,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f370/ts-370/irc1,E(RB3LYP),-4848.291179,-4846.47796,-4846.381261,-4846.380317,-4846.609117,1231,NImag=0,-3041295.687
389,S4,random5,212,22,12,10,-1,irc1,10.89,-20.46,/project/dwappett/CM-MD-250-set/opts/S4_random5/f389/ts-389/,E(RB3LYP),-4829.544333,-4827.764615,-4827.664469,-4827.663525,-4827.898397,1218,NImag=1,-3029554.523,/project/dwappett/CM-MD-250-set/opts/S4_random5/f389/ts-389/irc1,E(RB3LYP),-4829.563471,-4827.781315,-4827.680943,-4827.679999,-4827.915753,1218,NImag=0,-3029565.414,/project/dwappett/CM-MD-250-set/opts/S4_random5/f389/ts-389/irc2,E(RB3LYP),-4829.596147,-4827.813007,-4827.712666,-4827.711722,-4827.948353,1218,NImag=0,-3029585.871
394,S7,activecluster4,177,18,10,8,-2,irc1,20.01,-7.71,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f394/ts-394/,E(RB3LYP),-4105.499003,-4104.027264,-4103.943893,-4103.942949,-4104.147496,1015,NImag=1,-2575393.595,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f394/ts-394/irc1,E(RB3LYP),-4105.53363,-4104.060099,-4103.977061,-4103.976116,-4104.17939,1015,NImag=0,-2575413.609,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f394/ts-394/irc2,E(RB3LYP),-4105.546073,-4104.071488,-4103.987923,-4103.986978,-4104.191679,1015,NImag=0,-2575421.32
547,S8,rincluster2,224,18,12,6,1,irc1,19.41,-6.76,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f547/ts-547/,E(RB3LYP),-4544.511919,-4542.604875,-4542.508476,-4542.507532,-4542.737181,1261,NImag=1,-2850613.008,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f547/ts-547/irc1,E(RB3LYP),-4544.543228,-4542.635024,-4542.538501,-4542.537556,-4542.768113,1261,NImag=0,-2850632.419,/project/dwappett/CM-MD-250-set/opts/S8_rincluster2/f547/ts-547/irc2,E(RB3LYP),-4544.560532,-4542.648584,-4542.553021,-4542.552077,-4542.778888,1261,NImag=0,-2850639.18
703,S5,cluster3qm,201,17,9,8,0,irc2,12.73,-14.83,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f703/ts-703/,E(RB3LYP),-4068.334073,-4066.6294,-4066.53941,-4066.538466,-4066.756034,1123,NImag=1,-2551930.079,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f703/ts-703/irc2,E(RB3LYP),-4068.354068,-4066.647706,-4066.557322,-4066.556377,-4066.776313,1123,NImag=0,-2551942.804,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f703/ts-703/irc1,E(RB3LYP),-4068.379387,-4066.671984,-4066.581349,-4066.580405,-4066.799954,1123,NImag=0,-2551957.639
